pattern	dataset	models_added	recovery_count	recovery_pct_of_total
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google,medasr,medasr-int8,zipformer-zh-en,nemo-fastconformer-int8,nemo-fastconformer,paraformer-en	291	52.7
NUMERIC	nazmulkazi	cloud-assemblyai,cloud-azure,cloud-google,medasr,medasr-int8,zipformer-zh-en,nemo-fastconformer-int8,nemo-fastconformer,paraformer-en,sensevoice	292	52.9
NUMERIC	primock57	paraformer-en	149	40.3
NUMERIC	primock57	paraformer-en,zipformer-zh-en	195	52.7
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8	208	56.2
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8,qwen3-asr	224	60.5
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8,qwen3-asr,nemo-fastconformer	227	61.4
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8,qwen3-asr,nemo-fastconformer,sensevoice-no-itn	229	61.9
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8,qwen3-asr,nemo-fastconformer,sensevoice-no-itn,cloud-google	237	64.1
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8,qwen3-asr,nemo-fastconformer,sensevoice-no-itn,cloud-google,cloud-deepgram	240	64.9
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8,qwen3-asr,nemo-fastconformer,sensevoice-no-itn,cloud-google,cloud-deepgram,canary-180m-flash	241	65.1
NUMERIC	primock57	paraformer-en,zipformer-zh-en,nemo-fastconformer-int8,qwen3-asr,nemo-fastconformer,sensevoice-no-itn,cloud-google,cloud-deepgram,canary-180m-flash,whisper-base-en	242	65.4
