subdir	provider	fid	words_fixed	words_buggy	fixed_err	buggy_err
benchmark_results_cloud_figshare-osce	assemblyai	RES0121	962	930	52	108
benchmark_results_cloud_figshare-osce	assemblyai	RES0118	947	921	52	93
benchmark_results_cloud_figshare-osce	assemblyai	RES0120	1381	1325	62	145
benchmark_results_cloud_figshare-osce	assemblyai	RES0122	1046	1005	70	138
benchmark_results_cloud_figshare-osce	assemblyai	RES0116	1588	1533	143	227
benchmark_results_cloud_figshare-osce	assemblyai	RES0119	1359	1302	84	189
benchmark_results_cloud_figshare-osce	assemblyai	RES0124	1729	1675	105	192
benchmark_results_cloud_figshare-osce	assemblyai	RES0129	1078	1040	108	179
benchmark_results_cloud_figshare-osce	assemblyai	RES0127	1461	1418	132	201
benchmark_results_cloud_figshare-osce	assemblyai	RES0128	1095	1062	109	165
benchmark_results_cloud_figshare-osce	assemblyai	RES0125	1638	1576	87	176
benchmark_results_cloud_figshare-osce	assemblyai	RES0131	1231	1176	86	173
benchmark_results_cloud_figshare-osce	assemblyai	RES0123	1716	1647	154	261
benchmark_results_cloud_figshare-osce	assemblyai	RES0130	1329	1282	85	165
benchmark_results_cloud_figshare-osce	assemblyai	RES0126	1858	1784	193	322
benchmark_results_cloud_figshare-osce	assemblyai	RES0135	1224	1191	88	138
benchmark_results_cloud_figshare-osce	assemblyai	RES0136	1243	1211	82	129
benchmark_results_cloud_figshare-osce	assemblyai	RES0133	1264	1222	95	157
benchmark_results_cloud_figshare-osce	assemblyai	RES0132	1309	1276	76	138
benchmark_results_cloud_figshare-osce	assemblyai	RES0137	1274	1216	106	199
benchmark_results_cloud_figshare-osce	assemblyai	RES0140	907	877	85	131
benchmark_results_cloud_figshare-osce	assemblyai	RES0142	778	758	80	112
benchmark_results_cloud_figshare-osce	assemblyai	RES0141	987	949	73	127
benchmark_results_cloud_figshare-osce	assemblyai	RES0134	1679	1630	88	186
benchmark_results_cloud_figshare-osce	assemblyai	RES0138	1148	1118	88	136
benchmark_results_cloud_figshare-osce	assemblyai	RES0139	1131	1093	101	156
benchmark_results_cloud_figshare-osce	assemblyai	RES0144	1153	1119	145	203
benchmark_results_cloud_figshare-osce	assemblyai	RES0143	1119	1080	80	138
benchmark_results_cloud_figshare-osce	assemblyai	RES0145	1326	1277	161	235
benchmark_results_cloud_figshare-osce	assemblyai	RES0146	898	870	103	150
benchmark_results_cloud_figshare-osce	assemblyai	RES0148	1136	1101	140	188
benchmark_results_cloud_figshare-osce	assemblyai	RES0149	1270	1231	119	180
